Inverse Abel by basex, Non-Rolling Anisotropy with step size of 2 pixels
# Pixel_Center	# Energy(cm-1)	Beta2	Beta2_Error	Intensity
177.0	173464.3	-0.9925	0.0030	0.0034
179.0	177406.5	-0.9950	0.0027	0.0053
181.0	181393.1	-0.9966	0.0025	0.0079
183.0	185423.9	-0.9977	0.0022	0.0112
185.0	189499.0	-0.9984	0.0019	0.0154
187.0	193618.5	-0.9989	0.0016	0.0204
189.0	197782.2	-0.9993	0.0014	0.0258
191.0	201990.2	-0.9997	0.0011	0.0315
193.0	206242.5	-0.9999	0.0009	0.0369
195.0	210539.1	-1.0001	0.0006	0.0416
197.0	214880.0	-1.0003	0.0004	0.0450
199.0	219265.2	-1.0005	0.0001	0.0469
201.0	223694.7	-1.0006	0.0001	0.0469
203.0	228168.5	-1.0007	0.0004	0.0451
205.0	232686.5	-1.0009	0.0006	0.0417
207.0	237248.9	-1.0010	0.0009	0.0371
209.0	241855.6	-1.0011	0.0011	0.0317
211.0	246506.5	-1.0013	0.0014	0.0260
213.0	251201.8	-1.0014	0.0016	0.0206
215.0	255941.3	-1.0016	0.0019	0.0156
217.0	260725.2	-1.0019	0.0022	0.0114
219.0	265553.3	-1.0022	0.0024	0.0080
221.0	270425.8	-1.0027	0.0027	0.0054
223.0	275342.5	-1.0032	0.0030	0.0035
