Inverse Abel by basex, Non-Rolling Anisotropy with step size of 2 pixels
# Pixel_Center	# Energy(cm-1)	Beta2	Beta2_Error	Intensity
175.0	169566.3	-0.2344	0.1363	0.0028
177.0	173464.3	-0.9327	0.1297	0.0023
179.0	177406.5	-1.3916	0.1250	0.0021
181.0	181393.1	-1.2010	0.0772	0.0034
183.0	185423.9	-1.0399	0.0419	0.0064
185.0	189499.0	-1.0908	0.0326	0.0082
187.0	193618.5	-1.0909	0.0260	0.0096
189.0	197782.2	-1.0383	0.0222	0.0117
191.0	201990.2	-0.9852	0.0178	0.0155
193.0	206242.5	-1.0291	0.0133	0.0196
195.0	210539.1	-1.0320	0.0115	0.0210
197.0	214880.0	-1.0166	0.0102	0.0217
199.0	219265.2	-1.0061	0.0089	0.0231
201.0	223694.7	-1.0268	0.0087	0.0231
203.0	228168.5	-1.0335	0.0088	0.0225
205.0	232686.5	-0.9948	0.0086	0.0215
207.0	237248.9	-0.9903	0.0085	0.0189
209.0	241855.6	-0.9874	0.0095	0.0157
211.0	246506.5	-0.9825	0.0103	0.0132
213.0	251201.8	-1.0041	0.0108	0.0105
215.0	255941.3	-1.0214	0.0122	0.0079
217.0	260725.2	-1.0261	0.0136	0.0056
219.0	265553.3	-1.0134	0.0150	0.0040
221.0	270425.8	-1.0177	0.0201	0.0026
223.0	275342.5	-1.0104	0.0234	0.0019
