Inverse Abel by basex, Non-Rolling Anisotropy with step size of 2 pixels
# Pixel_Center	# Energy(cm-1)	Beta2	Beta2_Error	Intensity
177.0	173464.3	-0.9926	0.0096	0.0034
179.0	177406.5	-0.9951	0.0087	0.0053
181.0	181393.1	-0.9968	0.0079	0.0079
183.0	185423.9	-0.9978	0.0071	0.0113
185.0	189499.0	-0.9985	0.0063	0.0154
187.0	193618.5	-0.9991	0.0054	0.0204
189.0	197782.2	-0.9994	0.0046	0.0258
191.0	201990.2	-0.9997	0.0038	0.0315
193.0	206242.5	-1.0000	0.0029	0.0369
195.0	210539.1	-1.0002	0.0021	0.0416
197.0	214880.0	-1.0003	0.0013	0.0450
199.0	219265.2	-1.0005	0.0005	0.0469
201.0	223694.7	-1.0006	0.0005	0.0469
203.0	228168.5	-1.0008	0.0013	0.0451
205.0	232686.5	-1.0009	0.0021	0.0417
207.0	237248.9	-1.0011	0.0029	0.0371
209.0	241855.6	-1.0012	0.0037	0.0317
211.0	246506.5	-1.0014	0.0046	0.0260
213.0	251201.8	-1.0016	0.0054	0.0206
215.0	255941.3	-1.0017	0.0062	0.0156
217.0	260725.2	-1.0020	0.0070	0.0114
219.0	265553.3	-1.0023	0.0078	0.0080
221.0	270425.8	-1.0028	0.0086	0.0054
223.0	275342.5	-1.0033	0.0094	0.0035
